Date,Open,High,Low,Close,Volume,returns,log_returns
2014-01-03,6194.5498046875,6221.7001953125,6171.25,6211.14990234375,139000,-0.001607419875260141,-0.001608713160675422
2014-01-06,6220.85009765625,6224.7001953125,6170.25,6191.4501953125,118300,-0.0031716682644893357,-0.0031767086647526764
2014-01-07,6203.89990234375,6221.5,6144.75,6162.25,138600,-0.00471621258208732,-0.004727369003838941
2014-01-08,6178.0498046875,6192.10009765625,6160.35009765625,6174.60009765625,146900,0.0020041539464075164,0.0020021483091771735
2014-01-09,6181.7001953125,6188.0498046875,6148.25,6168.35009765625,150100,-0.0010122113013233403,-0.0010127239331396106
2014-01-10,6178.85009765625,6239.10009765625,6139.60009765625,6171.4501953125,159900,0.0005025813397698808,0.0005024550880677336
2014-01-13,6189.5498046875,6288.2001953125,6189.5498046875,6272.75,135000,0.01641426269054902,0.01628100492203701
2014-01-14,6260.25,6280.35009765625,6234.14990234375,6241.85009765625,110200,-0.004926053540113995,-0.004938226534857065
2014-01-15,6265.9501953125,6325.2001953125,6265.2998046875,6320.89990234375,145900,0.012664483037998941,0.012584959187806487
2014-01-16,6341.35009765625,6346.5,6299.85009765625,6318.89990234375,153400,-0.0003164106426141178,-0.0003164607110232277
2014-01-17,6306.25,6327.10009765625,6246.35009765625,6261.64990234375,167700,-0.00906012136365153,-0.009101413862469748
2014-01-20,6261.75,6307.4501953125,6243.35009765625,6303.9501953125,122100,0.006755454812783057,0.006732738974413205
2014-01-21,6320.14990234375,6330.2998046875,6297.89990234375,6313.7998046875,141700,0.0015624503794975375,0.00156123102385989
2014-01-22,6309.0498046875,6349.9501953125,6287.4501953125,6338.9501953125,137500,0.003983400076500443,0.0039754873445066955
2014-01-23,6325.9501953125,6355.60009765625,6316.39990234375,6345.64990234375,120100,0.0010569111327305425,0.0010563529953923905
2014-01-24,6301.64990234375,6331.4501953125,6263.89990234375,6266.75,160300,-0.012433699236166218,-0.012511644446641086
2014-01-27,6186.2998046875,6188.5498046875,6130.25,6135.85009765625,190400,-0.020888004522878645,-0.02110924516297498
2014-01-28,6131.85009765625,6163.60009765625,6085.9501953125,6126.25,184100,-0.0015645912959830754,-0.0015658165471230908
2014-01-29,6161.0,6170.4501953125,6109.7998046875,6120.25,146700,-0.0009793919608243051,-0.0009798718785080376
2014-01-30,6067.0,6082.85009765625,6027.25,6073.7001953125,208100,-0.00760586653935702,-0.007634938648466337
2014-01-31,6082.75,6097.85009765625,6067.35009765625,6089.5,146700,0.0026013474783779245,0.002597969830382306
2014-02-03,6058.7998046875,6074.85009765625,5994.4501953125,6001.7998046875,134900,-0.014401871305115388,-0.014506584850296355
2014-02-04,5947.60009765625,6017.7998046875,5933.2998046875,6000.89990234375,183300,-0.0001499387472150282,-0.00014994998915273514
2014-02-05,6004.25,6028.0498046875,5962.0498046875,6022.39990234375,166600,0.003582795972251196,0.0035763930477856866
2014-02-06,6028.35009765625,6048.35009765625,5965.39990234375,6036.2998046875,185500,0.0023080337687870767,0.0023053743500808565
2014-02-07,6077.64990234375,6079.9501953125,6030.89990234375,6063.2001953125,181900,0.00445643713788213,0.004446536625011425
2014-02-10,6072.7998046875,6083.0498046875,6046.39990234375,6053.4501953125,133100,-0.0016080616977710571,-0.0016093560167322405
2014-02-11,6072.4501953125,6081.85009765625,6053.25,6062.7001953125,150500,0.0015280542007536368,0.0015268879138819519
