,Total Return (%),CAGR (%),Sharpe Ratio,Max Drawdown (%),Calmar Ratio,Win Rate (%),Num Trades
Strategy,262.01,16.61,0.968,-25.92,0.641,100.0,2.0
Buy & Hold,249.48,16.13,0.873,-38.44,0.419,100.0,1.0
