Date,Open,High,Low,Close,Volume,returns,log_returns,rv_5d,rv_10d,rv_21d,rv_63d,vol_ratio_5_21,vol_ratio_21_63,gk_vol_21,park_vol_21,mom_5d,mom_10d,mom_21d,mom_63d,rsi_14,vol_ma_ratio,drawdown,garch_vol,raw_regime,regime,regime_name
2014-04-07,6694.25,6725.14990234375,6650.39990234375,6695.0498046875,133900,0.0001045220254456,0.0001045165633993,0.06753893057970818,0.06548844935518763,0.09622132123196028,0.11828226285132482,0.7019123175090519,0.813489012743237,0.10141482597878852,0.09998969101209691,-0.0013648743113903183,0.01694384517164127,0.045913610339939126,0.0779082633573458,73.67938725487019,0.6962906101426308,-0.008515301873091631,0.14094587360012384,1,0,Low Vol
2014-04-09,6722.0,6808.7001953125,6705.10009765625,6796.2001953125,169800,0.0151082357227843,0.0149952429886004,0.12960024462573225,0.09319581911453895,0.08699505896930793,0.12110490637861544,1.4897425918345033,0.7183446283945883,0.10165770014204013,0.0970668445783024,0.011181347082503068,0.031328987490041316,0.04129994668044823,0.09767501650224886,78.92452360194295,0.9088777304819922,0.0,0.1342129293940259,1,0,Low Vol
2014-04-10,6803.0498046875,6819.0498046875,6777.2998046875,6796.39990234375,191100,2.9385101308232464e-05,2.9384669574600685e-05,0.1282529737407491,0.09428539987498037,0.08724006176027103,0.12048613147961913,1.470115577097806,0.7240672489765194,0.09996584436386739,0.09495065486019315,0.006493857716652451,0.029539189093932494,0.03964203638284447,0.10290882426771875,86.45571029881003,1.0363608191514087,0.0,0.1468343501869174,1,0,Low Vol
2014-04-11,6758.35009765625,6789.35009765625,6743.14990234375,6776.2998046875,140700,-0.0029574624720535,-0.0029618444059262,0.12926153303070556,0.09665549078521192,0.08653069534597947,0.12081978447979652,1.4938228857849056,0.7161964054028679,0.09822595525887595,0.09348546247470413,0.005967801316556498,0.02025818567207427,0.040602574718414886,0.09744755895359813,82.19241669109743,0.7829093799682035,-0.002957462472053542,0.1396389921377774,1,0,Low Vol
2014-04-15,6792.7001953125,6813.39990234375,6711.75,6733.10009765625,123200,-0.0063751174352361,-0.0063955252775563,0.12990976256798073,0.09839586403315037,0.09114183753480139,0.12174652723477024,1.425358167903695,0.7486196083363247,0.10097462489174044,0.09677023752230955,0.00578846332126659,0.005555667775063222,0.0331753131937389,0.09155608729384279,69.05252579774962,0.6950728064048143,-0.00931372573671996,0.1342047915256326,1,0,Low Vol
2014-04-16,6727.25,6748.64990234375,6665.14990234375,6675.2998046875,119800,-0.008584499284196,-0.0086215583395539,0.14788003684011924,0.1084146552373991,0.09619944288909271,0.12337372657885695,1.5372234224953727,0.7797401080172834,0.09915753522282916,0.09645190341123563,-0.00294994071383492,-0.004310788726924808,0.028060511048800363,0.08164201175239127,59.63074609341504,0.6847391197844369,-0.017818271348995874,0.13276204835102184,1,0,Low Vol
2014-04-17,6695.4501953125,6783.0498046875,6684.39990234375,6779.39990234375,131500,0.0155948198136584,0.0154744702186573,0.1510669057269876,0.1346298910789065,0.10799946360913577,0.12298415285626647,1.3987745927490767,0.878157560148066,0.09852250029210963,0.09732913759558968,-0.00247201266677477,0.008681693984108563,0.04231107573066151,0.0807699816418237,66.58592336726858,0.7611002397817159,-0.002501324266416036,0.1349076023969737,1,0,Low Vol
2014-04-21,6789.25,6825.4501953125,6786.89990234375,6817.64990234375,111800,0.0056420923018238,0.0056262353154806,0.157384194920103,0.1354652192826921,0.10873679065093016,0.12264404838816173,1.4473867950116541,0.8866047075255061,0.09490201236722925,0.09490239555774345,0.003126655333020034,0.009640817104534127,0.0461893771355959,0.09224825903840705,66.45463639228798,0.6593462143338575,0.0,0.14857805586210482,1,0,Low Vol
2014-04-22,6822.89990234375,6838.0,6806.25,6815.35009765625,114700,-0.0003373310041498,-0.0003373879130515,0.15469660139675945,0.1343955094330823,0.1090292196117753,0.12055968361515931,1.4188545231048506,0.9043588730691213,0.09465637454847278,0.09473223676876143,0.005762775274750442,0.011764967689178896,0.04465022519592843,0.07822465201974826,62.374426636829185,0.6876106194690266,-0.00033733100414988753,0.14340525470763393,1,0,Low Vol
2014-04-23,6823.25,6861.60009765625,6820.75,6840.7998046875,183000,0.0037341745716044,0.0037272198497921,0.1395436330077692,0.12822078047777322,0.10477192838932352,0.12062480294682557,1.3318799716011431,0.8685769910480982,0.09408672318137538,0.09417100176268979,0.015995560064336445,0.02187661309833855,0.05517417618780329,0.08259347519497373,63.66545914957971,1.0843679458239277,0.0,0.13653664858849232,1,0,Low Vol
2014-04-25,6855.7998046875,6869.85009765625,6772.85009765625,6782.75,154300,-0.0084858212993929,-0.0085220308717785,0.1390144078250503,0.13896341390000636,0.11158088547182712,0.12042793251342827,1.2458622033444056,0.9265365861809953,0.09690427655779976,0.09798886624708653,0.016096684561949903,0.013099259582967981,0.04459277335951062,0.08322089318043813,55.70243130204356,0.9235833998403832,-0.008485821299392904,0.13104923237528388,1,0,Low Vol
2014-04-28,6778.5498046875,6786.25,6750.2998046875,6761.25,118200,-0.0031698057572518,-0.0031748402332101,0.08942287999751021,0.117033571862064,0.10435546309506813,0.12023091469954426,0.8569065513709206,0.867958655690604,0.0958564650673125,0.09519572006301759,-0.0026772137069942525,-0.005142608267573734,0.02699931647300069,0.07254178578814585,50.81922893720011,0.7157026699728967,-0.01162872865143493,0.1332604285362862,1,0,Low Vol
2014-04-29,6769.0,6779.7001953125,6708.64990234375,6715.25,115500,-0.006803475688667,-0.0068267248394148,0.07837757075204108,0.12112875908322261,0.10806589124393756,0.12126931233831945,0.7252757539853077,0.8911231469875353,0.09680563709266889,0.09635805090743234,-0.015019824105157897,-0.011940130585277209,0.0190447285557116,0.06358297819554792,48.140208448569474,0.7101241363157278,-0.018353088567431824,0.12855533100407593,1,0,Low Vol
2014-04-30,6724.9501953125,6780.14990234375,6656.7998046875,6696.39990234375,161100,-0.0028070582117195,-0.0028110053879877,0.07492142766197575,0.12106972160476383,0.10876369897873334,0.1213471612184488,0.6888458958776789,0.8963019644352228,0.10502203824516615,0.10259658745884245,-0.017453277323699945,-0.011791081363973777,0.01439088699447999,0.05638941717755963,50.190626515521664,0.9979351641544497,-0.021108628591177788,0.1283865758015506,1,0,Low Vol
2014-05-02,6709.9501953125,6737.64990234375,6689.5,6694.7998046875,114300,-0.0002389489396668,-0.0002389774925132,0.05275963415464127,0.11754575266368707,0.10699016239088197,0.12136676085114163,0.49312603117553183,0.8815441859085882,0.10318011130052145,0.101014973681545,-0.02134253364642491,-0.00568835936095502,0.007987323324048612,0.05502192962375574,49.97678951901718,0.7519736842105263,-0.02134253364642492,0.1238687023818355,1,0,Low Vol
2014-05-05,6681.64990234375,6741.0498046875,6680.4501953125,6699.35009765625,105000,0.0006796757336289,0.0006794448586849,0.04661439317150166,0.10864418014345312,0.10324618158960733,0.11829247916651423,0.45148781731017373,0.872804275614792,0.10339866634190553,0.10109857901548504,-0.01229588328388187,0.0036028783234367534,0.0005152698461474703,0.06903101251146926,39.04285984180981,0.708502024291498,-0.020677363915009597,0.11859868940625093,1,0,Low Vol
